Date(UTC+1 28 Jan 2024 - 28 Jan 2025),Symbol,Type,Side,Fill Price,Order Price,Filled (crypto amount),Total,Contract Size,Fee,Realized PnL,Net Amount,Wallet,Position Remaining (crypto amount),Crypto Unit
2025-01-27 19:16:26,OP-PERP,Limit,Buy,1.4189,1.4201,1308.0,1500.0,0.1,0.9279606,0,-0.9279606,Cross,3591.2,OP
2025-01-27 19:16:26,OP-PERP,Limit,Buy,1.4180,1.4201,192.0,1500.0,0.1,0.136128,0,-0.136128,Cross,2283.2,OP
2025-01-26 14:09:42,ONE-PERP,Limit,Buy,0.02158,0.02158,8137.0,22500.0,1,0.01053579,0,-0.01053579,Cross,22500.0,ONE
2025-01-26 14:09:42,ONE-PERP,Limit,Buy,0.02158,0.02158,8583.0,22500.0,1,0.01111327,0,-0.01111327,Cross,14363.0,ONE
2025-01-26 14:09:40,ONE-PERP,Limit,Buy,0.02158,0.02158,2890.0,22500.0,1,0.00374197,0,-0.00374197,Cross,5780.0,ONE
2025-01-26 14:09:32,ONE-PERP,Limit,Buy,0.02158,0.02158,2890.0,22500.0,1,0.00374197,0,-0.00374197,Cross,2890.0,ONE
2025-01-20 09:24:28,SEI-PERP,Limit,Buy,0.3730,0.3730,171.0,1000.0,1,0.0318915,0,-0.0318915,Cross,10510.0,SEI
2025-01-20 09:24:28,SEI-PERP,Limit,Buy,0.3729,0.3730,829.0,1000.0,1,0.15456705,0,-0.15456705,Cross,10339.0,SEI
2025-01-19 19:53:08,SEI-PERP,Limit,Buy,0.3828,0.3828,342.0,2000.0,1,0.00785506,0,-0.00785506,Cross,9510.0,SEI
2025-01-19 19:53:07,SEI-PERP,Limit,Buy,0.3828,0.3828,829.0,2000.0,1,0.01904047,0,-0.01904047,Cross,9168.0,SEI
2025-01-19 19:52:59,SEI-PERP,Limit,Buy,0.3828,0.3828,829.0,2000.0,1,0.01904047,0,-0.01904047,Cross,8339.0,SEI
2025-01-19 19:51:43,SEI-PERP,Limit,Buy,0.3832,0.3832,1171.0,2000.0,1,0.02692363,0,-0.02692363,Cross,7510.0,SEI
2025-01-19 19:51:43,SEI-PERP,Limit,Buy,0.3832,0.3832,829.0,2000.0,1,0.01906037,0,-0.01906037,Cross,6339.0,SEI
2025-01-19 19:47:54,SEI-PERP,Limit,Buy,0.3821,0.3821,171.0,1000.0,1,0.00392035,0,-0.00392035,Cross,5510.0,SEI
2025-01-19 19:47:45,SEI-PERP,Limit,Buy,0.3821,0.3821,829.0,1000.0,1,0.01900565,0,-0.01900565,Cross,5339.0,SEI
2025-01-19 19:46:49,SEI-PERP,Limit,Buy,0.3816,0.3816,171.0,1000.0,1,0.00391522,0,-0.00391522,Cross,4510.0,SEI
2025-01-19 19:46:47,SEI-PERP,Limit,Buy,0.3816,0.3816,829.0,1000.0,1,0.01898078,0,-0.01898078,Cross,4339.0,SEI
2024-12-26 14:28:00,OP-PERP,Limit,Buy,1.8025,1.8036,114.5,500.0,0.1,0.10319313,0,-0.10319313,Cross,2091.2,OP
2024-12-26 14:28:00,OP-PERP,Limit,Buy,1.8020,1.8036,385.5,500.0,0.1,0.3473355,0,-0.3473355,Cross,1976.7,OP
2024-12-26 14:25:26,SEI-PERP,Limit,Buy,0.4273,0.4273,1036.0,1150.0,1,0.2213414,0,-0.2213414,Cross,3510.0,SEI
2024-12-26 14:25:26,SEI-PERP,Limit,Buy,0.4271,0.4273,114.0,1150.0,1,0.0243447,0,-0.0243447,Cross,2474.0,SEI
2024-12-26 14:19:13,OP-PERP,Limit,Buy,1.7994,1.7994,934.5,1000.0,0.1,0.84076965,0,-0.84076965,Cross,1591.2,OP
2024-12-26 14:19:13,OP-PERP,Limit,Buy,1.7989,1.7994,65.5,1000.0,0.1,0.05891398,0,-0.05891398,Cross,656.7,OP
2024-12-24 11:08:30,ONE-PERP,Limit,Sell,0.02980,0.02980,26420.0,28136.0,1,0.04723896,7.18515678,7.13791782,Cross,0.0,ONE
2024-12-24 11:07:39,ONE-PERP,Limit,Sell,0.02980,0.02980,1716.0,28136.0,1,0.00306821,0.46668164,0.46361343,Cross,26420.0,ONE
2024-12-24 09:36:08,ONE-PERP,Limit,Sell,0.03015,0.03015,287.0,287.0,1,0.00051918,0.17850223,0.17798305,Cross,28136.0,ONE
2024-12-24 09:06:49,ONE-PERP,Limit,Sell,0.02980,0.02980,287.0,287.0,1,0.00051316,0.07805223,0.07753907,Cross,28423.0,ONE
2024-12-24 00:18:51,ONE-PERP,Limit,Sell,0.03128,0.03128,290.0,290.0,1,0.00054427,0.50806811,0.50752384,Cross,28710.0,ONE
2024-12-22 13:14:36,SEI-PERP,Limit,Buy,0.4293,0.4301,500.0,500.0,1,0.107325,0,-0.107325,Cross,2360.0,SEI
2024-12-19 18:52:42,OP-PERP,Limit,Buy,1.9802,1.9802,3.0,3.0,0.1,0.00035644,0,-0.00035644,Cross,591.2,OP
2024-12-19 18:52:42,OP-PERP,Limit,Buy,1.9803,1.9803,3.0,3.0,0.1,0.00035645,0,-0.00035645,Cross,588.2,OP
2024-12-19 18:52:42,OP-PERP,Limit,Buy,1.9803,1.9803,3.0,3.0,0.1,0.00035645,0,-0.00035645,Cross,585.2,OP
2024-12-19 18:52:42,OP-PERP,Limit,Buy,1.9803,1.9803,3.0,3.0,0.1,0.00035645,0,-0.00035645,Cross,582.2,OP
2024-12-19 18:52:42,OP-PERP,Limit,Buy,1.9803,1.9803,3.0,3.0,0.1,0.00035645,0,-0.00035645,Cross,579.2,OP
2024-12-19 18:52:42,OP-PERP,Limit,Buy,1.9803,1.9803,3.0,3.0,0.1,0.00035645,0,-0.00035645,Cross,576.2,OP
2024-12-19 18:52:41,OP-PERP,Limit,Buy,1.9804,1.9804,3.0,3.0,0.1,0.00035647,0,-0.00035647,Cross,573.2,OP
2024-12-19 18:52:41,OP-PERP,Limit,Buy,1.9804,1.9804,3.0,3.0,0.1,0.00035647,0,-0.00035647,Cross,570.2,OP
2024-12-19 18:52:41,OP-PERP,Limit,Buy,1.9804,1.9804,3.0,3.0,0.1,0.00035647,0,-0.00035647,Cross,567.2,OP
2024-12-19 18:52:41,OP-PERP,Limit,Buy,1.9804,1.9804,3.0,3.0,0.1,0.00035647,0,-0.00035647,Cross,564.2,OP
2024-12-19 18:52:41,OP-PERP,Limit,Buy,1.9805,1.9805,3.0,3.0,0.1,0.00035649,0,-0.00035649,Cross,561.2,OP
2024-12-19 18:52:41,OP-PERP,Limit,Buy,1.9805,1.9805,3.0,3.0,0.1,0.00035649,0,-0.00035649,Cross,558.2,OP
2024-12-19 18:52:41,OP-PERP,Limit,Buy,1.9805,1.9805,3.0,3.0,0.1,0.00035649,0,-0.00035649,Cross,555.2,OP
2024-12-19 18:52:41,OP-PERP,Limit,Buy,1.9806,1.9806,3.0,3.0,0.1,0.00035651,0,-0.00035651,Cross,552.2,OP
2024-12-19 18:52:41,OP-PERP,Limit,Buy,1.9806,1.9806,3.0,3.0,0.1,0.00035651,0,-0.00035651,Cross,549.2,OP
2024-12-19 18:52:41,OP-PERP,Limit,Buy,1.9807,1.9807,3.0,3.0,0.1,0.00035653,0,-0.00035653,Cross,546.2,OP
2024-12-19 18:52:41,OP-PERP,Limit,Buy,1.9807,1.9807,3.0,3.0,0.1,0.00035653,0,-0.00035653,Cross,543.2,OP
2024-12-19 18:52:41,OP-PERP,Limit,Buy,1.9808,1.9808,3.0,3.0,0.1,0.00035654,0,-0.00035654,Cross,540.2,OP
2024-12-19 18:52:41,OP-PERP,Limit,Buy,1.9808,1.9808,3.0,3.0,0.1,0.00035654,0,-0.00035654,Cross,537.2,OP
2024-12-19 18:52:41,OP-PERP,Limit,Buy,1.9809,1.9809,3.0,3.0,0.1,0.00035656,0,-0.00035656,Cross,534.2,OP
2024-12-19 18:52:40,OP-PERP,Limit,Buy,1.9810,1.9810,3.0,3.0,0.1,0.00035658,0,-0.00035658,Cross,531.2,OP
2024-12-19 18:52:40,OP-PERP,Limit,Buy,1.9810,1.9810,3.0,3.0,0.1,0.00035658,0,-0.00035658,Cross,528.2,OP
2024-12-19 18:52:40,OP-PERP,Limit,Buy,1.9811,1.9811,3.0,3.0,0.1,0.0003566,0,-0.0003566,Cross,525.2,OP
2024-12-19 18:52:40,OP-PERP,Limit,Buy,1.9812,1.9812,3.0,3.0,0.1,0.00035662,0,-0.00035662,Cross,522.2,OP
2024-12-19 18:52:40,OP-PERP,Limit,Buy,1.9813,1.9813,3.0,3.0,0.1,0.00035663,0,-0.00035663,Cross,519.2,OP
2024-12-19 18:52:40,OP-PERP,Limit,Buy,1.9813,1.9813,3.0,3.0,0.1,0.00035663,0,-0.00035663,Cross,516.2,OP
2024-12-19 18:52:40,OP-PERP,Limit,Buy,1.9814,1.9814,3.0,3.0,0.1,0.00035665,0,-0.00035665,Cross,513.2,OP
2024-12-19 18:52:28,OP-PERP,Limit,Buy,1.9816,1.9816,3.0,3.0,0.1,0.00035669,0,-0.00035669,Cross,507.2,OP
2024-12-19 18:52:28,OP-PERP,Limit,Buy,1.9817,1.9817,3.0,3.0,0.1,0.00035671,0,-0.00035671,Cross,504.2,OP
2024-12-19 18:52:28,OP-PERP,Limit,Buy,1.9818,1.9818,3.0,3.0,0.1,0.00035672,0,-0.00035672,Cross,501.2,OP
2024-12-19 18:52:28,OP-PERP,Limit,Buy,1.9819,1.9819,3.0,3.0,0.1,0.00035674,0,-0.00035674,Cross,495.2,OP
2024-12-19 18:52:28,OP-PERP,Limit,Buy,1.9821,1.9821,3.0,3.0,0.1,0.00035678,0,-0.00035678,Cross,510.2,OP
2024-12-19 18:52:28,OP-PERP,Limit,Buy,1.9822,1.9822,3.0,3.0,0.1,0.0003568,0,-0.0003568,Cross,498.2,OP
2024-12-19 18:52:28,OP-PERP,Limit,Buy,1.9824,1.9824,3.0,3.0,0.1,0.00035683,0,-0.00035683,Cross,492.2,OP
2024-12-19 18:52:28,OP-PERP,Limit,Buy,1.9825,1.9825,3.0,3.0,0.1,0.00035685,0,-0.00035685,Cross,489.2,OP
2024-12-19 18:52:28,OP-PERP,Limit,Buy,1.9827,1.9827,3.0,3.0,0.1,0.00035689,0,-0.00035689,Cross,486.2,OP
2024-12-19 18:52:27,OP-PERP,Limit,Buy,1.9829,1.9829,3.0,3.0,0.1,0.00035692,0,-0.00035692,Cross,483.2,OP
2024-12-19 18:52:27,OP-PERP,Limit,Buy,1.9831,1.9831,3.0,3.0,0.1,0.00035696,0,-0.00035696,Cross,480.2,OP
